# Long COVID Gene-Disease Edges for Knowledge Graph
# Curated from multi-ancestry GWAS, combinatorial analysis, and causal inference
# Updated: 2026-02-19
#
# SELECTION CRITERIA:
#   - Include: GWAS lead signals, combinatorial OR genes, prioritised categories 1-3,
#     and specific causal driver genes with moderate graph degree (< ~300 edges)
#   - Exclude: Mega-hub genes (TP53, MAPK1, SRC, EP300, CREBBP, etc.) that would
#     dominate SEAL subgraphs and create shortcuts to every drug
#   - Borderline: TYK2 (280 edges) included due to direct therapeutic relevance (JAK pathway)
#
# FORMAT: ENSEMBL_ID  # SYMBOL  | Category | Score/OR

# === GWAS Lead Signals (multi-ancestry validated) ===
ENSG00000137166   # FOXP4      | GWAS_OR=1.63   | Lead signal; Lung/Hypothalamus
ENSG00000181092   # ADIPOQ     | Combinatorial  | Metabolic/Protective
ENSG00000171105   # INSR       | Combinatorial  | Fatigue subtype
ENSG00000144619   # CNTN4      | Combinatorial  | General PASC

# === User's Own Genes (from project-specific analysis) ===
ENSG00000163817   # SLC6A20    | Own            | Amino acid transport; COVID risk locus
ENSG00000073849   # ST6GAL1    | Own            | Sialyltransferase; Immune regulation
ENSG00000181143   # MUC16      | Own            | Mucin; Epithelial barrier
ENSG00000176920   # FUT2       | Own            | Fucosyltransferase; Secretor status
ENSG00000171124   # FUT3       | Own            | Fucosyltransferase; Lewis antigen
ENSG00000242808   # SOX2-OT    | Own            | lncRNA; Stem cell regulation (not in graph)
ENSG00000171119   # NRTN       | Own            | Neurturin; Neurotrophic factor
ENSG00000153162   # BMP6       | Own            | Bone morphogenetic protein; Iron regulation
ENSG00000099246   # RAB18      | Own            | Rab GTPase; Vesicle trafficking

# === EXCLUDED (mega-hub genes, degree > 500): ===
# ENSG00000141510  # TP53     degree=2058 — too connected
# ENSG00000100393  # EP300    degree=1300 — too connected
# ENSG00000100030  # MAPK1    degree=1164 — too connected
# ENSG00000197122  # SRC      degree=1104 — too connected
# ENSG00000005339  # CREBBP   degree=1090 — too connected
# ENSG00000177885  # GRB2     degree=686  — too connected
# ENSG00000166949  # SMAD3    degree=552  — too connected
# ENSG00000116473  # HDAC1    degree=526  — too connected
# ENSG00000139687  # RB1      degree=506  — too connected
# ENSG00000175387  # SMAD2    degree=404  — too connected
# ENSG00000136869  # TLR4     degree=400  — too connected
# ENSG00000101266  # CSNK2A1  degree=226  — borderline, excluded for safety
# ENSG00000213076  # C17orf58 — not in graph
# ENSG00000175171  # PPA1     — not in graph
# ENSG00000155256  # NPFFR1   — not in graph
# ENSG00000144930  # SLC6A11  — not in graph
# ENSG00000144961  # NXPE3    — not in graph
# ENSG00000163341  # VWDE     — not in graph
# ENSG00000164237  # GMPPB    — not in graph
# ENSG00000091839  # ESR1     — not in graph
